country_code, maaeone, lapefodp, mapeone, maaetwo, lapeftdp, mapetwo
BA,64.08355970719175,80.0,6.131752478276095,62.324404151270194,120.0,-0.8081259692117395
BW,100.0,100.0,100.0,98600.0,98600.0,-98600.0
BR,33.87191859447492,19.25515055467512,-11.292674171415083,36.46911996662443,38.35182250396196,-12.482166829086385
BN,100.0,100.0,100.0,100.0,100.0,100.0
BG,65.58070000175263,27.27272727272727,-10.208773682457892,71.7439870071449,18.181818181818183,-24.571802466539307
BF,88.46153846153847,100.0,73.07692307692307,88.46153846153847,100.0,88.46153846153845
CM,118.03348582780714,66.66666666666666,-15.29984750552617,128.40479388263321,66.66666666666666,-34.57766225771767
CA,77.34415857639118,63.63636363636363,-48.10678673773093,78.55200784434268,72.72727272727273,-54.71607698802855
CV,84.21052631578948,0.0,84.21052631578947,77.19298245614036,0.0,77.19298245614034
KY,100.0,100.0,100.0,100.0,100.0,100.0
CF,91.8944099378882,100.0,48.41614906832298,81.24223602484471,100.0,37.7639751552795
TD,93.32010582010584,100.0,26.65343915343915,82.84391534391534,100.0,32.28835978835979
CL,112.21312759932461,40.42553191489361,-89.03505696967365,149.331843587319,37.234042553191486,-123.75994530034082
CN,60.416666666666664,33.33333333333333,50.416666666666664,65.41666666666666,33.33333333333333,45.41666666666667
CO,23.6368572507784,10.38961038961039,4.232557906625892,22.76465385950307,10.714285714285714,4.692558559128827
CG,93.65079365079366,100.0,93.65079365079364,80.15873015873017,100.0,80.15873015873015
CD,60.145812968393614,88.88888888888889,41.32860866731835,56.78175766885443,88.88888888888889,28.448424335521104
CR,58.62285647169368,22.22222222222222,33.715141447699594,59.009530521158425,44.44444444444444,25.23322930299674
HR,77.63157894736842,100.0,39.03508771929825,75.1608187134503,0.0,29.546783625730992
CU,66.07142857142857,100.0,33.92857142857143,64.58333333333334,100.0,36.01190476190476
CY,100.0,100.0,100.0,100.0,100.0,100.0
CZ,69.47619047619047,0.0,25.476190476190474,57.29365079365079,0.0,10.404761904761905
DK,76.38824884792628,100.0,17.647849462365592,59.2505120327701,100.0,20.462749615975426
DJ,69.94047619047619,100.0,69.94047619047619,73.51190476190477,100.0,66.36904761904762
DO,83.48161215185367,13.636363636363635,-46.53577257981679,89.69582381591579,9.090909090909092,-54.55814443805246
EC,210.45056190662567,11.538461538461538,-170.0857757298725,204.42596855217525,30.76923076923077,-162.9820716073363
EG,24.61979531045403,13.636363636363635,-7.933516518378407,28.433444514669894,13.636363636363635,-7.895080937819905
SV,45.46548164018044,71.42857142857143,20.05031447802532,77.52036785169315,85.71428571428571,-14.06910693055272
GQ,90.9090909090909,100.0,90.9090909090909,90.9090909090909,100.0,90.9090909090909
EE,71.21212121212122,100.0,53.03030303030303,71.96969696969698,100.0,62.878787878787875
ET,72.32859153456059,0.0,-7.236419725365935,79.3182945192135,12.5,-14.4531882353201
FJ,100.0,100.0,100.0,100.0,100.0,100.0
FI,67.18743782687731,100.0,-5.083549321058144,75.79477577703344,100.0,-10.130846317579632
FR,77.31615917850584,41.17647058823529,-38.54340646140102,82.82907364767351,52.94117647058824,-45.84642717206543
GF,100.0,100.0,100.0,100.0,100.0,100.0
GA,85.0,100.0,77.85714285714286,77.85714285714286,100.0,70.71428571428572
GM,114.77777777777779,70.0,54.77777777777778,80.55555555555556,50.0,20.555555555555554
GE,100.0,100.0,100.0,100.0,100.0,100.0
DE,137.2957175229944,75.0,-104.10637257160242,186.14852362777867,125.0,-157.17878090573916
GH,78.35416666666667,75.0,73.35416666666667,73.05357142857143,75.0,68.05357142857143
GR,60.175438596491226,80.0,53.1578947368421,60.90643274853801,80.0,39.26900584795322
GP,66.66666666666667,66.66666666666666,66.66666666666666,51.851851851851855,50.0,51.85185185185185
GT,43.5953964103263,6.896551724137931,0.2091147244365803,44.21265831929025,13.793103448275861,-0.9712318165409439
GN,92.85714285714286,100.0,92.85714285714286,1532.857142857143,100.0,-1361.4285714285713
GY,100.0,100.0,100.0,100.0,100.0,100.0
HT,60.82010582010582,60.0,29.603174603174608,60.05291005291005,60.0,19.31216931216931
HN,85.6896194097635,88.88888888888889,-46.29283800554448,92.17488247735974,88.88888888888889,-49.70958478531687
